NonApple,Apple,Weights
Blink_Left,eyeBlinkLeft,
Blink_Right,eyeBlinkRight,
BrowsDown_Left,browDownLeft,
BrowsDown_Right,browDownRight,
BrowsUp_Left,browOuterUpLeft,
BrowsUp_Right,browOuterUpRight,
Frown_Left,mouthFrownLeft,
Frown_Right,mouthFrownRight,
Jaw_Down,jawOpen,
Jaw_Left,jawLeft,
Jaw_Right,jawRight,
Jaw_Up,mouthClose,
LowerLipDown_Left,mouthLowerDownLeft,
LowerLipDown_Right,mouthLowerDownRight,
NoseScrunch_Left,noseSneerLeft,
NoseScrunch_Right,noseSneerRight,
SmileLeft,mouthLeft,
SmileRight,mouthRight,
UpperLipUp_Left,mouthUpperUpLeft,
UpperLipUp_Right,mouthUpperUpRight,
UpperLipIn,mouthRollUpper,
LowerLipIn,mouthRollLower,
MidMouth_Right,mouthRight,
MidMouth_Left,mouthLeft,
EyesWide_Left,eyeWideLeft,
EyesWide_Right,eyeWideRight,
Squint_Left,eyeBlinkSquintRight,
Squint_Right,eyeBlinkSquintLeft,
*BrowsOuterLower_Left and BrowsOuterLower_Right,browInnerUp,50
*MouthNarrow_Left and MouthNarrow_Right,mouthPucker,52
*CheekPuff_Left and CheekPuff_Right,cheekPuff,51